Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,HOST,samp_size,ref_biomaterial,Source_material_ID
SRR12512282,WGS,502,2177601202,PRJNA590225,SAMN15897846,Metagenome or environmental,1211567225,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-07,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9003042,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS365,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:35:00Z,1,MG_ TBS365,SRP230357,,,,
SRR12512283,WGS,502,1797357286,PRJNA590225,SAMN15897845,Metagenome or environmental,1098821744,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-06,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9003041,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS349,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TBS349,SRP230357,,,,
SRR12512284,WGS,502,1767684066,PRJNA590225,SAMN15897844,Metagenome or environmental,1021950188,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-05,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003040,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS277,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:37:00Z,1,MG_ TBS277,SRP230357,,,,
SRR12512285,WGS,502,2312976044,PRJNA590225,SAMN15897843,Metagenome or environmental,1356397317,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-04,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9003039,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS165,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS165,SRP230357,,,,
SRR12512286,WGS,502,2292449264,PRJNA590225,SAMN15897842,Metagenome or environmental,1328617526,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-03,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9003038,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS160,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS160,SRP230357,,,,
SRR12512287,WGS,502,1980900032,PRJNA590225,SAMN15897841,Metagenome or environmental,1150373576,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-02,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9003037,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS035,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T06:06:00Z,1,MG_ TBS035,SRP230357,,,,
SRR12512288,WGS,502,1866846134,PRJNA590225,SAMN15897787,Metagenome or environmental,1075291417,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-07,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003036,Italy,Europe,Italy,Illumina HiSeq 2500,sputum,45.458941 N 9.198502 E,MG_ IT103,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:38:00Z,1,MG_ IT103,SRP230357,,,,
SRR12512289,WGS,502,1635971816,PRJNA590225,SAMN15897840,Metagenome or environmental,936055067,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-01,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX9003035,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS011,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS011,SRP230357,,,,
SRR12512290,WGS,502,1603501954,PRJNA590225,SAMN15897839,Metagenome or environmental,944322235,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-28,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9003034,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS006,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TBS006,SRP230357,,,,
SRR12512291,WGS,502,1739268356,PRJNA590225,SAMN15897838,Metagenome or environmental,1010935315,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-27,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9003033,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS002,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS002,SRP230357,,,,
SRR12512292,WGS,502,1718897698,PRJNA590225,SAMN15897837,Metagenome or environmental,971763961,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-26,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9003032,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0031,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ SG0031,SRP230357,,,,
SRR12512293,WGS,502,1643630830,PRJNA590225,SAMN15897836,Metagenome or environmental,1015161911,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-25,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9003031,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0028,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T06:05:00Z,1,MG_ SG0028,SRP230357,,,,
SRR12512294,WGS,502,1804985176,PRJNA590225,SAMN15897835,Metagenome or environmental,1030900627,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-24,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9003030,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0025,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ SG0025,SRP230357,,,,
SRR12512295,WGS,502,1812929828,PRJNA590225,SAMN15897834,Metagenome or environmental,1122268073,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-23,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9003029,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0024,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ SG0024,SRP230357,,,,
SRR12512296,WGS,502,1672573640,PRJNA590225,SAMN15897833,Metagenome or environmental,947941035,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-22,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9003028,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0006,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ SG0006,SRP230357,,,,
SRR12512297,WGS,502,2112662984,PRJNA590225,SAMN15897832,Metagenome or environmental,1204139717,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-21,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9003027,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0002,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:35:00Z,1,MG_ SG0002,SRP230357,,,,
SRR12512298,WGS,502,1572856360,PRJNA590225,SAMN15897831,Metagenome or environmental,900554807,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-20,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9003026,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ SG0001,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ SG0001,SRP230357,,,,
SRR12512299,WGS,502,1823711282,PRJNA590225,SAMN15897786,Metagenome or environmental,1060462739,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-06,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9003025,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ DU0089,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ DU0089,SRP230357,,,,
SRR12512300,WGS,502,1866926454,PRJNA590225,SAMN15897830,Metagenome or environmental,1050114671,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-19,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9003024,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0039,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ KL0039,SRP230357,,,,
SRR12512301,WGS,502,1018022366,PRJNA590225,SAMN15897829,Metagenome or environmental,694094118,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-18,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9003023,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0037,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ KL0037,SRP230357,,,,
SRR12512302,WGS,502,1776985624,PRJNA590225,SAMN15897828,Metagenome or environmental,1005966895,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-17,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9003022,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0035,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ KL0035,SRP230357,,,,
SRR12512303,WGS,502,2246421386,PRJNA590225,SAMN15897827,Metagenome or environmental,1268744248,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-16,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9003021,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0031,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ KL0031,SRP230357,,,,
SRR12512304,WGS,502,1913123004,PRJNA590225,SAMN15897826,Metagenome or environmental,1189526949,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-15,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9003020,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0026,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ KL0026,SRP230357,,,,
SRR12512305,WGS,502,1819567774,PRJNA590225,SAMN15897825,Metagenome or environmental,1033757092,NANYANG TECHNOLOGICAL UNIVERSITY,2019-02-14,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9003019,Malaysia,Asia,Malaysia,Illumina HiSeq 2500,sputum,3.098275 N 101.726122 E,MG_ KL0024,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ KL0024,SRP230357,,,,
SRR12512306,WGS,502,1711856646,PRJNA590225,SAMN15897881,Metagenome or environmental,1087795093,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-11,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9003018,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0062,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TT0062,SRP230357,,,,
SRR12512307,WGS,502,1947700764,PRJNA590225,SAMN15897791,Metagenome or environmental,1119226908,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-11,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9003017,Italy,Europe,Italy,Illumina HiSeq 2500,sputum,45.458941 N 9.198502 E,MG_ IT202,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ IT202,SRP230357,,,,
SRR12512308,WGS,502,1979954264,PRJNA590225,SAMN15897782,Metagenome or environmental,1192784326,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-02,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9003016,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ CH0016,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:35:00Z,1,MG_ CH0016,SRP230357,,,,
SRR12512309,WGS,502,1746055396,PRJNA590225,SAMN15897781,Metagenome or environmental,1060497509,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-01,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9003015,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ CH0001,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ CH0001,SRP230357,,,,
SRR12512310,WGS,502,2137566200,PRJNA590225,SAMN15897880,Metagenome or environmental,1353447941,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-10,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9003014,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0060,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ TT0060,SRP230357,,,,
SRR12512311,WGS,502,2054787906,PRJNA590225,SAMN15897879,Metagenome or environmental,1292227065,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-09,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9003013,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0059,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ TT0059,SRP230357,,,,
SRR12512312,WGS,502,1918385972,PRJNA590225,SAMN15897878,Metagenome or environmental,1213904412,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-08,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9003012,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0053,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TT0053,SRP230357,,,,
SRR12512313,WGS,502,2086166420,PRJNA590225,SAMN15897877,Metagenome or environmental,1325498219,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-07,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9003011,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0049,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TT0049,SRP230357,,,,
SRR12512314,WGS,502,2045479822,PRJNA590225,SAMN15897876,Metagenome or environmental,1292304400,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-06,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003010,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0048,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:35:00Z,1,MG_ TT0048,SRP230357,,,,
SRR12512315,WGS,502,1782455416,PRJNA590225,SAMN15897875,Metagenome or environmental,1140648408,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-05,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9003009,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0045,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TT0045,SRP230357,,,,
SRR12512316,WGS,502,2036386594,PRJNA590225,SAMN15897874,Metagenome or environmental,1285585258,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-04,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003008,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0043,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TT0043,SRP230357,,,,
SRR12512317,WGS,502,1955751840,PRJNA590225,SAMN15897873,Metagenome or environmental,1102018074,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-03,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9003007,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0031,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TT0031,SRP230357,,,,
SRR12512318,WGS,502,2236718730,PRJNA590225,SAMN15897872,Metagenome or environmental,1253598738,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-02,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9003006,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0025,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:36:00Z,1,MG_ TT0025,SRP230357,,,,
SRR12512319,WGS,502,1710380766,PRJNA590225,SAMN15897871,Metagenome or environmental,962454332,NANYANG TECHNOLOGICAL UNIVERSITY,2019-04-01,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9003005,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,MG_ TT0016,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:37:00Z,1,MG_ TT0016,SRP230357,,,,
